iscogroup,iscocode,cbo2002,cbodom,desccbo
21,2111,2131,2131,Físicos
21,2111,2133,2133,Profissionais das ciências atmosféricas e espaciais e de astronomia
21,2112,2133,2133,Profissionais das ciências atmosféricas e espaciais e de astronomia
21,2113,2132,2132,Químicos
21,2114,2133,2133,Profissionais das ciências atmosféricas e espaciais e de astronomia
21,2114,2134,2134,Geólogos e geofísicos
21,2121,2111,2111,Profissionais da matemática
21,2122,2112,2112,Profissionais de estatística
21,2131,2123,2123,"Administradores de redes, sistemas e banco de dados"
21,2131,2124,2124,Analistas de sistemas computacionais
21,2139,2122,2122,Engenheiros em computação
21,2141,2141,2141,Arquitetos e urbanistas
21,2141,2629,2627,Designer de interiores de nível superior
21,2142,2142,2142,Engenheiros civis e afins
21,2143,2143,2143,"Engenheiros eletricistas, eletrônicos e afins"
21,2144,2143,2143,"Engenheiros eletricistas, eletrônicos e afins"
21,2145,2144,2144,Engenheiros mecânicos
21,2146,2145,2145,Engenheiros químicos
21,2147,2146,2146,Engenheiros metalurgistas e de materiais
21,2147,2147,2147,Engenheiros de minas
21,2148,2148,2148,Engenheiros agrimensores e engenheiros cartógrafos
21,2148,3123,3123,Técnicos em geomática
21,2149,2012,2012,Profissionais da metrologia
21,2149,2012,2012,Profissionais da metrologia
21,2149,2021,2021,Engenheiros mecatrônicos
21,2149,2149,2149,"Engenheiros de produção, qualidade e segurança"
21,2149,2525,2525,Profissionais de administração econômico-financeira
21,2149,3012,3012,Técnicos de apoio à bioengenharia
22,2211,2011,2011,Profissionais da biotecnologia
22,2211,2131,2131,Físicos
22,2211,2211,2211,Biólogos e afins
22,2213,2221,2221,Engenheiros agrossilvipecuários
22,2221,2231,2231,Médicos
22,2222,2232,2232,Cirurgiões-dentistas
22,2223,2233,2233,Veterinários e zootecnistas
22,2224,2234,2234,Farmacêuticos
22,2229,2236,2236,Profissionais da fisioterapia e afins
22,2229,2237,2237,Nutricionistas
22,2229,2238,2236,Fonoaudiólogos
22,2230,2235,2235,Enfermeiros
23,2310,1313,1220,Diretores e gerentes de instituição de serviços educacionais
23,2310,2341,2340,"Professores de matemática, estatística e informática do Ensino Superior"
23,2310,2342,2340,"Professores de ciências físicas, químicas e afins do Ensino Superior"
23,2310,2343,2340,"Professores de arquitetura e urbanismo, engenharia, geofísica e geologia do Ensino Superior"
23,2310,2344,2340,Professores de ciências biológicas e da saúde do Ensino Superior
23,2310,2345,2340,Professores na área de formação pedagógica do Ensino Superior
23,2310,2346,2340,Professores nas áreas de língua e literatura do Ensino Superior
23,2310,2347,2340,Professores de ciências humanas do Ensino Superior
23,2310,2348,2340,"Professores de ciências econômicas, administrativas e contábeis do Ensino Superior"
23,2310,2349,2340,Professores de artes do Ensino Superior
23,2320,2321,2321,Professores do Ensino Médio
23,2320,2331,2330,Professores do Ensino Profissional
23,2320,2332,2330,Instrutores do Ensino Profissional
23,2331,2313,2313,Professores de nível superior no Ensino Fundamental de quinta a oitava série
23,2331,2321,2321,Professores do Ensino Médio
23,2331,2331,2330,Professores do Ensino Profissional
23,2332,2311,2311,Professores de nível superior na educação infantil
23,2332,2312,2312,Professores de nível superior do Ensino Fundamental de primeira a quarta série
23,2332,2313,2313,Professores de nível superior no Ensino Fundamental de quinta a oitava série
23,2340,2392,2392,Professores de educação especial
23,2351,2394,2394,"Programadores, avaliadores e orientadores de ensino"
23,2352,3341,3341,Inspetores de alunos
23,2359,2312,2312,Professores de nível superior do Ensino Fundamental de primeira a quarta série
23,2359,2332,2330,Instrutores do Ensino Profissional
23,2359,2341,2340,"Professores de matemática, estatística e informática do Ensino Superior"
23,2359,3322,3322,Professores práticos no Ensino Profissionalizante
24,2411,2522,2522,Contadores e afins
24,2412,2524,2524,Profissionais de recursos humanos
24,2419,2521,2521,Administradores
24,2419,2523,2523,Secretárias executivas e bilíngues
24,2419,2525,2525,Profissionais de administração econmico-financeira
24,2419,2531,2531,"Profissionais de relações públicas, publicidade, mercado e negócios"
24,2419,3543,3543,Analistas de comércio exterior
24,2421,2410,2410,Advogados
24,2421,2412,2412,Procuradores e advogados públicos
24,2421,2422,2422,Membros do ministério público
24,2421,2424,2422,Defensores públicos e procuradores da assistência judiciária
24,2422,1113,1113,Magistrados
24,2429,2412,2412,Procuradores e advogados públicos
24,2429,2413,3514,Tabeliães e registradores
24,2429,2423,2423,Delegados de polícia
24,2431,2613,2613,Arquivistas e museólogos
24,2432,2612,2612,Profissionais da informação
24,2441,2512,2512,Economistas
24,2442,2511,2511,Profissionais em pesquisa e análise antropológica sociológica
24,2442,2513,2513,Profissionais em pesquisa e análise geográfica
24,2444,2514,2514,Filósofos
24,2444,2614,2614,"Filólogos, intérpretes e tradutores"
24,2445,2515,2515,Psicólogos e psicanalistas
24,2446,2516,2516,Assistentes sociais e economistas domésticos
24,2451,2515,2515,Psicólogos e psicanalistas
24,2451,2611,2611,Profissionais do jornalismo
24,2451,2615,2615,Profissionais da escrita
24,2451,2616,2616,Editores
24,2451,2617,2617,"Locutores, comentaristas e repórteres de rádio e televisão"
24,2451,2628,2622,Artistas da dança (exceto dança tradicional e popular)
24,2452,2624,2625,Artistas visuais e desenhistas industriais
24,2453,2626,2624,"Músicos compositores, arranjadores, regentes e musicólogos"
24,2453,2627,2624,Músicos intérpretes
24,2454,2628,2622,Artistas da dança (exceto dança tradicional e popular)
24,2455,2611,2611,Profissionais do jornalismo
